Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WS,VORP,PER
2020,Steven Adams,C,26,OKC,52,52,1410,239,408,0.586,1,3,0.333,238,405,0.588,0.587,101,166,0.608,178,317,495,130,43,61,77,101,580,5.7,1.9,21.2
2020,Bam Adebayo,PF,22,MIA,57,57,1968,359,621,0.578,1,12,0.083,358,609,0.588,0.579,201,293,0.686,147,450,597,291,74,70,160,141,920,7.5,2.9,20.9
2020,LaMarcus Aldridge,C,34,SAS,52,52,1717,381,770,0.495,60,153,0.392,321,617,0.52,0.534,155,187,0.829,103,287,390,127,33,83,73,127,977,4.5,1.5,19.9
2020,Nickeil Alexander-Walker,SG,21,NOP,41,0,501,77,227,0.339,40,117,0.342,37,110,0.336,0.427,17,28,0.607,8,72,80,74,11,7,40,46,211,-0.4,-0.4,7.6
2020,Grayson Allen,SG,24,MEM,30,0,498,79,176,0.449,33,91,0.363,46,85,0.541,0.543,30,35,0.857,5,61,66,43,6,1,23,36,221,0.7,-0.1,11.4
2020,Jarrett Allen,C,21,BRK,56,52,1473,241,374,0.644,0,5,0,241,369,0.653,0.644,132,210,0.629,171,366,537,80,34,81,62,130,614,6.6,1.7,20.7
2020,Kadeem Allen,SG,27,NYK,10,0,117,19,44,0.432,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50,0.1,0,14.1
2020,Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,0.291,9,36,0.25,16,50,0.32,0.343,19,29,0.655,24,63,87,21,18,8,17,27,78,0.1,-0.1,7.7
2020,Justin Anderson,SF,26,BRK,3,0,17,1,6,0.167,0,3,0,1,3,0.333,0.167,1,2,0.5,0,2,2,0,0,1,0,2,3,-0.1,-0.1,-3.8
2020,Kyle Anderson,PF,26,MEM,51,12,934,116,232,0.5,10,47,0.213,106,185,0.573,0.522,38,58,0.655,48,170,218,110,41,24,45,78,280,1.9,0.6,13.4
2020,Ryan Anderson,PF,31,HOU,2,0,14,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,0,7,7,2,1,0,1,1,5,0,0,9.5
2020,Giannis Antetokounmpo,PF,25,MIL,52,52,1606,567,1029,0.551,77,245,0.314,490,784,0.625,0.588,332,535,0.621,122,590,712,302,55,57,194,162,1543,9.6,5.4,32
2020,Kostas Antetokounmpo,PF,22,LAL,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,0,0,8.6
2020,Thanasis Antetokounmpo,SF,27,MIL,15,1,61,13,23,0.565,0,3,0,13,20,0.65,0.565,4,9,0.444,6,1,7,6,2,1,5,9,30,0.1,0,13.7
2020,Carmelo Anthony,PF,35,POR,43,43,1403,252,603,0.418,64,178,0.36,188,425,0.442,0.471,100,118,0.847,54,222,276,63,35,20,74,125,668,0.7,-0.7,12.1
2020,OG Anunoby,SF,22,TOR,57,56,1670,233,467,0.499,70,190,0.368,163,277,0.588,0.574,47,70,0.671,63,242,305,90,68,40,71,134,583,4.2,1.1,12.5
2020,Ryan Arcidiacono,PG,25,CHI,55,4,866,81,205,0.395,50,131,0.382,31,74,0.419,0.517,25,34,0.735,17,83,100,90,24,3,35,92,237,1.1,-0.2,8.5
2020,Trevor Ariza,SF,34,TOT,46,14,1246,116,263,0.441,61,166,0.367,55,97,0.567,0.557,42,50,0.84,30,186,216,73,60,12,46,94,335,2.1,0,10.8
2020,Trevor Ariza,SF,34,SAC,32,0,791,64,165,0.388,43,122,0.352,21,43,0.488,0.518,21,27,0.778,21,125,146,50,35,7,28,63,192,1.2,0.3,9.5
2020,Trevor Ariza,SF,34,POR,14,14,455,52,98,0.531,18,44,0.409,34,54,0.63,0.622,21,23,0.913,9,61,70,23,25,5,18,31,143,1,0.2,13.1
2020,D.J. Augustin,PG,32,ORL,41,6,1043,128,332,0.386,47,141,0.333,81,191,0.424,0.456,115,131,0.878,15,82,97,187,29,1,58,45,418,2.1,0.2,13.8
2020,Deandre Ayton,C,21,PHO,26,21,853,221,401,0.551,0,2,0,221,399,0.554,0.551,50,64,0.781,108,202,310,53,18,41,54,83,492,2.4,0.7,21.2
2020,Dwayne Bacon,SG,24,CHO,39,11,687,85,244,0.348,19,67,0.284,66,177,0.373,0.387,35,53,0.66,15,85,100,52,23,2,37,52,224,-0.8,-0.8,6.1
2020,Marvin Bagley,PF,20,SAC,13,6,334,78,167,0.467,4,22,0.182,74,145,0.51,0.479,25,31,0.806,29,68,97,10,6,12,18,43,185,0.4,-0.1,15.8
2020,Lonzo Ball,PG,22,NOP,50,41,1601,220,551,0.399,116,317,0.366,104,234,0.444,0.505,30,53,0.566,56,247,303,341,65,24,148,98,586,1.8,0.8,12.8
2020,Mo Bamba,C,21,ORL,52,0,772,114,244,0.467,30,90,0.333,84,154,0.545,0.529,22,32,0.688,77,177,254,36,20,77,39,97,280,2,0.5,16.8
2020,J.J. Barea,PG,35,DAL,19,4,304,66,148,0.446,25,58,0.431,41,90,0.456,0.53,16,16,1,10,33,43,76,3,2,28,17,173,0.8,0.3,18.4
2020,Harrison Barnes,PF,27,SAC,57,57,1985,295,639,0.462,83,218,0.381,212,421,0.504,0.527,176,220,0.8,52,219,271,128,33,9,69,72,849,3.9,0.4,13.5
2020,RJ Barrett,SG,19,NYK,47,46,1433,237,606,0.391,50,161,0.311,187,445,0.42,0.432,128,213,0.601,46,193,239,114,45,16,102,106,652,-0.7,-1,10
2020,Will Barton,SF,29,DEN,51,51,1685,285,641,0.445,90,237,0.38,195,404,0.483,0.515,93,122,0.762,73,254,327,193,55,26,74,107,753,4.2,1.4,15.8
2020,Keita Bates-Diop,SF,24,TOT,39,0,665,89,208,0.428,31,94,0.33,58,114,0.509,0.502,49,69,0.71,21,91,112,30,17,21,14,38,258,1.1,0,12.7
2020,Keita Bates-Diop,SF,24,MIN,37,0,646,87,206,0.422,31,94,0.33,56,112,0.5,0.498,46,65,0.708,21,89,110,30,17,20,14,36,251,1.1,0.2,12.6
2020,Keita Bates-Diop,SF,24,DEN,2,0,19,2,2,1,0,0,,2,2,1,1,3,4,0.75,0,2,2,0,0,1,0,2,7,0.1,0,15.9
2020,Nicolas Batum,SF,31,CHO,22,3,505,28,81,0.346,14,49,0.286,14,32,0.438,0.432,9,10,0.9,25,75,100,66,17,8,22,41,79,0.5,0,9.1
2020,Aron Baynes,C,33,PHO,36,25,796,154,314,0.49,44,131,0.336,110,183,0.601,0.561,44,61,0.721,60,139,199,64,8,20,41,126,396,1.8,0.3,15
2020,Kent Bazemore,SF-SG,30,TOT,57,21,1417,159,435,0.366,72,209,0.344,87,226,0.385,0.448,94,124,0.758,21,215,236,74,63,37,76,161,484,0.4,0,9
2020,Kent Bazemore,SF,30,POR,43,21,1111,113,326,0.347,56,171,0.327,57,155,0.368,0.433,58,72,0.806,13,159,172,61,45,31,60,121,340,-0.1,-0.3,7.6
2020,Kent Bazemore,SG,30,SAC,14,0,306,46,109,0.422,16,38,0.421,30,71,0.423,0.495,36,52,0.692,8,56,64,13,18,6,16,40,144,0.6,0,14
2020,Darius Bazley,PF,19,OKC,53,8,909,88,230,0.383,30,100,0.3,58,130,0.446,0.448,32,47,0.681,21,175,196,29,20,35,40,45,238,0.4,-0.1,8.2
2020,Bradley Beal,SG,26,WAS,49,49,1750,502,1099,0.457,131,397,0.33,371,702,0.528,0.516,339,401,0.845,48,165,213,293,53,19,170,112,1474,4.2,1.9,22.8
2020,Malik Beasley,SG,23,TOT,47,6,949,165,408,0.404,83,219,0.379,82,189,0.434,0.506,43,52,0.827,15,98,113,60,34,8,47,67,456,0.9,0,11.7
2020,Malik Beasley,SG,23,DEN,41,0,746,117,301,0.389,58,161,0.36,59,140,0.421,0.485,33,38,0.868,9,68,77,48,31,6,36,50,325,0.6,-0.2,10.5
2020,Malik Beasley,SG,23,MIN,6,6,203,48,107,0.449,25,58,0.431,23,49,0.469,0.565,10,14,0.714,6,30,36,12,3,2,11,17,131,0.3,0,15.9
2020,Marco Belinelli,SG,33,SAS,48,0,725,94,250,0.376,49,140,0.35,45,110,0.409,0.474,32,41,0.78,3,75,78,62,9,0,14,38,269,0.4,-0.3,9.5
2020,Jordan Bell,C-PF,25,TOT,28,0,250,33,64,0.516,3,11,0.273,30,53,0.566,0.539,19,31,0.613,29,51,80,16,3,10,21,18,88,0.3,0,13.7
2020,Jordan Bell,C,25,MIN,27,0,235,32,60,0.533,2,9,0.222,30,51,0.588,0.55,17,29,0.586,28,50,78,14,2,10,18,17,83,0.4,0,14.2
2020,Jordan Bell,PF,25,MEM,1,0,15,1,4,0.25,1,2,0.5,0,2,0,0.375,2,2,1,1,1,2,2,1,0,3,1,5,0,0,5.7
2020,DeAndre' Bembry,SG,25,ATL,43,4,915,104,228,0.456,15,65,0.231,89,163,0.546,0.489,26,48,0.542,34,118,152,81,55,19,60,84,249,0.2,-0.1,9.6
2020,Dragan Bender,SF,22,TOT,9,0,136,12,33,0.364,6,16,0.375,6,17,0.353,0.455,2,5,0.4,4,26,30,13,1,6,8,18,32,0.1,0,6.2
2020,Dragan Bender,SF,22,MIL,7,0,91,10,21,0.476,4,9,0.444,6,12,0.5,0.571,2,3,0.667,0,20,20,9,0,5,5,16,26,0.2,0,8.5
2020,Dragan Bender,SF,22,GSW,2,0,45,2,12,0.167,2,7,0.286,0,5,0,0.25,0,2,0,4,6,10,4,1,1,3,2,6,-0.1,-0.1,1.6
2020,D?vis Bert?ns,PF,27,WAS,46,4,1354,222,510,0.435,163,386,0.422,59,124,0.476,0.595,85,98,0.867,33,182,215,82,33,30,48,116,692,3,1,15.5
2020,Patrick Beverley,PG,31,LAC,41,41,1140,127,294,0.432,66,179,0.369,61,115,0.53,0.544,24,38,0.632,52,182,234,161,50,25,56,129,344,3.1,1.3,13.1
2020,Khem Birch,C,27,ORL,38,24,773,56,113,0.496,0,1,0,56,112,0.5,0.496,41,67,0.612,70,110,180,35,16,21,23,73,153,1.6,-0.2,10.4
